frame_index,timestamp,instantaneous_score,filtered_score,confidence,ready,informative_fraction,warmup_samples,processing_time_s,capture_latency_s,score_change_detected,motor_position,roi_x,roi_y,roi_w,roi_h,raw_laplacian,norm_laplacian,w_laplacian,rel_laplacian,agree_laplacian,ms_laplacian,raw_tenengrad,norm_tenengrad,w_tenengrad,rel_tenengrad,agree_tenengrad,ms_tenengrad,raw_brenner,norm_brenner,w_brenner,rel_brenner,agree_brenner,ms_brenner,raw_wavelet,norm_wavelet,w_wavelet,rel_wavelet,agree_wavelet,ms_wavelet,raw_fourier,norm_fourier,w_fourier,rel_fourier,agree_fourier,ms_fourier,raw_edge_width,norm_edge_width,w_edge_width,rel_edge_width,agree_edge_width,ms_edge_width,noise_sigma,noise_level,snr,local_contrast,brightness,clipped_high,clipped_low,edge_density,edge_sufficiency,motion_px,motion_level,anisotropy,subject_label,subject_x,subject_y,subject_map_score,subject_score,subject_confidence,decision_margin,region_count,map_valid_fraction,map_relative_spread,scene_time_s,total_time_s,source,wall_time,interval_s,image_file
0,962.013707221,0.5,0.5,0.0,0,0.0,1,0.007336741000017355,0.0,0,0.0,,,,,0.06599471416069556,0.5,0.17942763492884636,0.988607063350732,1.0,0.23601700002018333,0.6857955089156165,0.5,0.17908530496874892,0.9867209000700138,1.0,0.3146469999819601,0.022604294373575643,0.5,0.17840260319629683,0.9829593624747831,1.0,0.18831399995633546,0.05209941367080196,0.5,0.17977061926871887,0.9904968321210282,1.0,0.38637000000107946,0.010222196469153835,0.5,0.14409140739139523,0.9923902132729647,1.0,1.4033850000032544,0.28663794708844725,0.5,0.1392224302459937,0.9588564630291264,1.0,1.9936429999916072,0.0,0.0,1000.0,0.179480354458678,0.33170133104511335,0.0,0.0,0.029427083333333333,0.9809027777777778,0.0,0.0,0.09106484158959094,sharp area,512,128,0.5752368569374084,0.4999999999999999,0.0,0.0,1,0.64,1.0355523409408613,0.028692702999933317,0.04289936999998645,synthetic,0.04309,0.04309,frame_000000.png
1,962.05752057,0.9977860154956939,0.9977860154956939,0.5477225575051661,0,0.8333333333333334,2,0.010797305999972195,0.0,1,0.025,,,,,0.07387623056157017,1.0,0.21766857163261277,0.9831530943836889,1.0,0.20464700003230973,0.7122944374493303,1.0,0.2170530631227165,0.9803730003554827,1.0,0.3395179999188258,0.023559342605874566,0.5,0.004427969008612297,0.9748363741565494,4.800892238919128e-61,0.19386999997550447,0.05403390113842667,1.0,0.21814776764588234,0.9853174998361098,1.0,0.4194440000446775,0.011498692238960946,1.0,0.17501310437245868,0.9881116152352367,1.0,1.1694039999383676,0.29756097145693283,1.0,0.16768952421771754,0.9467631994011549,1.0,2.033105999998952,0.0,0.0,1000.0,0.1798793717926624,0.33170881084367343,0.0,0.0,0.029340277777777778,0.9780092592592593,0.018979922597014764,0.006326640865671588,0.09132913695401484,sharp area,512,128,0.5742286443710327,0.5012311922027038,0.40019526483955303,0.0,1,0.64,1.0373125338100195,0.0023122720000401387,0.023406366000017442,synthetic,0.067417,0.024327,
2,962.08113099,0.9999999999999999,0.9982104427349352,0.5477225575051661,0,1.0,3,0.009731475000080536,0.0,0,0.05,,,,,0.08294926051641072,1.0,0.17868771505816816,0.9965856520429635,1.0,0.19909200000256533,0.7400045894863468,1.0,0.17858588642335452,0.996017728521252,1.0,0.27944400005708303,0.024569132470392035,1.0,0.17838240320768264,0.9948828522198558,1.0,0.181537000003118,0.05605902839029377,1.0,0.17868771505816816,0.9965856520429635,1.0,0.3870730000699041,0.012880160588225905,1.0,0.14303168140406217,0.9971538993913671,1.0,1.0606270000153017,0.30873746130204155,1.0,0.1426245988485643,0.9943158990714087,1.0,2.0146609999756038,0.0,0.0,1000.0,0.18027071485332413,0.3317059386010264,0.0,0.0,0.031145833333333334,1.0,0.017100950724940202,0.005700316908313401,0.09166509052150756,sharp area,512,128,0.5727900862693787,0.9898676597683836,0.42466285647165647,0.0,1,0.64,1.038754780050491,0.0020984020000014425,0.021594536000066,synthetic,0.089207,0.021791,
3,962.102915582,1.0,0.9985535060436433,0.5477225575051661,0,1.0,4,0.009886696999956257,0.0,0,0.075,,,,,0.09405451757938245,1.0,0.17869530196545724,0.9963631996121167,1.0,0.1999630000000252,0.7706542605185757,1.0,0.1785868242785473,0.9957583534072791,1.0,0.281406999988576,0.02570400703669123,1.0,0.1783700664201732,0.9945497622975227,1.0,0.18359200009854248,0.05833299103731618,1.0,0.17869530196545724,0.9963631996121167,1.0,0.38646200005132414,0.014430582647146306,1.0,0.14304307643533937,0.9969684132142552,1.0,1.095442000064395,0.320294998261949,1.0,0.14260942893502568,0.9939460169469498,1.0,2.0137169999543403,0.0,0.0,1000.0,0.18068434771369485,0.3317071054496017,0.0,0.0,0.031145833333333334,1.0,0.018217148120502406,0.006072382706834135,0.09190717380551443,sharp area,512,128,0.5707204937934875,0.9898422857366326,0.41300474169997936,0.0,1,0.64,1.0396185302972645,0.009210771999960343,0.029005073000007542,synthetic,0.118404,0.029197,
4,962.132132766,1.0,0.9990586592226772,0.9977883356491334,1,1.0,5,0.009887918999993417,0.0,0,0.1,,,,,0.10669138103923356,1.0,0.17866157281982115,0.9973524486169817,1.0,0.20772099992427684,0.8020015612034767,1.0,0.17858264976221833,0.9969118720368578,1.0,0.2926280000110637,0.02688346655975816,1.0,0.17842490822347642,0.9960313026596281,1.0,0.18461000001934735,0.06061323542036066,1.0,0.17866157281982115,0.9973524486169817,1.0,0.39027699995131115,0.016015798943949087,1.0,0.14299242460542935,0.9977932199061148,1.0,1.134793999995054,0.3320030690247994,1.0,0.14267687176923372,0.9955913096906124,1.0,2.0237720000295667,0.0,0.0,1000.0,0.18108526491651347,0.3317088706820619,0.0,0.0,0.03128472222222222,1.0,0.013255311727597256,0.0044184372425324185,0.09227614167909244,sharp area,512,128,0.5683684349060059,0.9912515426557709,0.6102424381615337,0.0,1,0.64,1.0419508910456698,0.0020627729999205258,0.021749795999994603,synthetic,0.140363,0.021959,
5,962.154071857,1.0,0.999386642406823,0.9954894491133347,1,1.0,6,0.009748141000045507,0.0,0,0.125,,,,,0.12199996219164053,1.0,0.17875500147357246,0.9946141022141894,1.0,0.20699900005638483,0.8355704235096915,1.0,0.17859418083201384,0.9937192770249487,1.0,0.29135099998711667,0.028169827638177866,1.0,0.1782729734755962,0.9919320410662661,1.0,0.18314799990548636,0.06305094713213374,1.0,0.17875500147357246,0.9946141022141894,1.0,0.38998100001208513,0.0178086022789153,1.0,0.14313277354483256,0.9955097331763861,1.0,1.182330999995429,0.344143530763373,1.0,0.14249006920041235,0.9910396288489196,1.0,1.8690509999714777,0.0,0.0,1000.0,0.18148438696767769,0.3317095588235294,0.0,0.0,0.03352430555555556,1.0,0.027002270112087983,0.009000756704029328,0.09248501574789376,sharp area,512,128,0.5672353506088257,0.9923927763616248,0.6255206165001012,0.0,1,0.64,1.0410969455894332,0.002119753999977547,0.02174525899999935,synthetic,0.1623,0.021937,frame_000005.png
6,962.176652798,1.0,0.9996007563522942,0.9973857611332863,1,1.0,7,0.010829415999978664,0.0,0,0.15,,,,,0.14018187882462105,1.0,0.1786779536986115,0.9968719165864394,1.0,0.21857399997315952,0.8710601943213456,1.0,0.17858467879579706,0.9963515214889284,1.0,0.32711100004689797,0.029564336620132064,1.0,0.17839827504109493,0.9953115461345975,1.0,0.1923329999726775,0.06564753447237132,1.0,0.1786779536986115,0.9968719165864394,1.0,0.40151700000023993,0.019700396262839263,1.0,0.14301702185517842,0.9973925834866743,1.0,1.34107100006986,0.35673549274494787,1.0,0.14264411691070658,0.9947919655942226,1.0,2.2665689999712413,0.0,0.0,1000.0,0.18189453424191943,0.3317179361979167,0.0,0.0,0.03369791666666667,1.0,0.015664930465725587,0.005221643488575196,0.09262727064505259,sharp area,512,128,0.565467119216919,0.9932900835663135,0.6322496210622299,0.0,1,0.64,1.0408260257604118,0.009961288999988938,0.03103449399998226,synthetic,0.194172,0.031872,
7,962.207885199,1.0,0.9997401646689811,0.997660146973159,1,1.0,8,0.0102206589999696,0.0,0,0.175,,,,,0.1618422421421498,1.0,0.17866678977379008,0.9971993903598096,1.0,0.21025899991400365,0.9077559860492431,1.0,0.17858329630142855,0.9967333852346077,1.0,0.2936839999847507,0.03103831245988646,1.0,0.17841642639144975,0.9958020281944385,1.0,0.184832000059032,0.06833481088501203,1.0,0.17866678977379008,0.9971993903598096,1.0,0.3874430000223583,0.021735902808417185,1.0,0.14300025782564235,0.9976656133574938,1.0,1.269997000008516,0.36883819289771486,1.0,0.14266643993389924,0.9953366760759844,1.0,2.203420000000733,0.0,0.0,1000.0,0.1822977253035003,0.33170997769224875,0.0,0.0,0.03366319444444445,1.0,0.014022693424484796,0.004674231141494932,0.09283165014519117,sharp area,512,128,0.5622597932815552,0.9939939998722231,0.6327642728536433,0.0,1,0.64,1.0353858845991204,0.002186605999895619,0.022432293999941066,synthetic,0.216813,0.022641,
8,962.230590084,0.9999999999999998,0.9998310328258678,0.9991840000076044,1,1.0,9,0.010124713999971391,0.0,0,0.2,,,,,0.18675818057793583,1.0,0.1644629736849754,0.7612532497496031,1.0,0.20953700004611164,0.9448651973766562,1.0,0.18606061449138936,0.861222707205116,1.0,0.29266600006394583,0.03258292110096843,1.0,0.19065323866762757,0.882480684005029,1.0,0.18559199997980613,0.0710596781153154,1.0,0.1771178920073102,0.819829338229227,1.0,0.4143879999674027,0.02382581212283739,1.0,0.1365608217869847,0.7901274603375633,1.0,1.2763109999696098,0.379767862214922,1.0,0.14514445936171266,0.8397915416504095,1.0,2.141456999993352,0.7413010650678117,0.12355017751130194,62.843344645147084,0.18268956203086703,0.33170773375268076,0.0,0.0,0.03378472222222222,1.0,0.004894002386410721,0.0016313341288035736,0.09336843005586802,sharp area,512,128,0.5605006814002991,0.9945518599183235,0.6337923227156774,0.0,1,0.64,1.032315295795744,0.0021341799999845534,0.022212313000068207,synthetic,0.23928,0.022467,
9,962.252987563,0.9999999999999998,0.9998900510539382,0.9979660821031696,1,1.0,10,0.010380694999980733,0.0,0,0.225,,,,,0.21759371975846384,1.0,0.16451105210103223,0.7601430726686449,1.0,0.20955499996944127,0.984599627655337,1.0,0.1860697422165018,0.8597575893700511,1.0,0.2989259999139904,0.03428256800071016,1.0,0.19056986205687806,0.8805509335202055,1.0,0.18531399996390974,0.07407565591229795,1.0,0.1771696699091214,0.8186337364476929,1.0,0.3893330000437345,0.02610030848751281,1.0,0.13663397373078892,0.7891671053114394,1.0,1.284089000023414,0.39178598116873414,1.0,0.14504569998567746,0.8377513444869906,1.0,2.179290999947625,0.7413010650678117,0.12355017751130194,62.982789563514295,0.18309493719362746,0.3317048615100337,0.0,0.0,0.03388888888888889,1.0,0.01219109691494939,0.004063698971649797,0.09331468125779226,sharp area,64,128,0.2740277051925659,0.49999999999999994,0.0,0.03869470953941345,2,0.66,2.237020903539903,0.009197347000053924,0.024603418000083366,synthetic,0.26407,0.02479,
